label	set1	set2	split	test_acc	bear	bird	boar	cat	deer	fox	masked	monkey	mustelidae	rabbit	raccoondog	serow	squirrel
small_nSt_test	small	nSt	test	0.9334151744842529	0.802	0.635	0.934	0.375	0.969	0.787	0.765	0.333	0.663	0.100	0.880	0.901	0.632
small_nSt_outertest	small	nSt	outertest	0.8405870795249939	0.620	0.582	0.883	0.036	0.929	0.692	0.406	0.000	0.669	0.110	0.752	0.575	0.332
small_St_test	small	St	test	0.9168329238891602	0.725	0.642	0.918	0.000	0.968	0.685	0.647	0.000	0.655	0.091	0.807	0.848	0.658
small_St_outertest	small	St	outertest	0.8474157452583313	0.446	0.631	0.862	0.027	0.942	0.571	0.281	0.000	0.654	0.187	0.712	0.578	0.356
expanded_nSt_test	expanded	nSt	test	0.9521886110305786	0.872	0.879	0.912	0.406	0.988	0.713	0.449	0.727	0.798	0.846	0.863	0.910	0.843
expanded_nSt_outertest	expanded	nSt	outertest	0.9187629818916321	0.744	0.811	0.874	0.161	0.984	0.703	0.750	0.200	0.832	0.741	0.834	0.656	0.733
expanded_St_test	expanded	St	test	0.9402769804000854	0.737	0.781	0.892	0.367	0.987	0.741	0.436	0.200	0.805	0.746	0.855	0.850	0.808
expanded_St_outertest	expanded	St	outertest	0.9197441339492798	0.719	0.785	0.864	0.214	0.987	0.775	0.688	0.600	0.833	0.747	0.861	0.637	0.721
expCap_nSt_test	expCap	nSt	test	0.8792082667350769	0.908	0.918	0.894	0.562	0.883	0.776	0.487	0.636	0.836	0.900	0.898	0.911	0.878
expCap_nSt_outertest	expCap	nSt	outertest	0.8696675896644592	0.802	0.863	0.871	0.321	0.901	0.791	0.781	0.533	0.852	0.832	0.886	0.643	0.794
expCap_St_test	expCap	St	test	0.8518957495689392	0.856	0.848	0.849	0.333	0.892	0.750	0.526	0.500	0.836	0.812	0.873	0.884	0.852
expCap_St_outertest	expCap	St	outertest	0.8695498704910278	0.818	0.869	0.830	0.188	0.905	0.775	0.625	0.467	0.861	0.793	0.870	0.704	0.794
